instno,instlvl,couninstno,cityinstno,instname,fullname,shortname,status
340201043,3,340201,3402,芜湖市火龙岗营业所,芜湖市火龙岗营业所,火龙岗营业所,0
340201044,3,340201,3402,芜湖市荆山营业所,芜湖市荆山营业所,荆山营业所,0
340201045,3,340201,3402,芜湖市白马山营业所,芜湖市白马山营业所,白马山营业所,0
340201047,3,340201,3402,芜湖市鲁港营业所,芜湖市鲁港营业所,鲁港营业所,0
340201048,3,340201,3402,芜湖市开发区营业所,芜湖市开发区营业所,开发区营业所,0
340201049,3,340201,3402,芜湖市开发区营业所,芜湖市开发区营业所,开发区营业所,0
340201052,3,340201,3402,芜湖市万春营业所,芜湖市万春营业所,万春营业所,0
340201053,3,340201,3402,芜湖市方村营业所,芜湖市方村营业所,方村营业所,0
340201054,3,340201,3402,芜湖市沈巷镇营业所,芜湖市沈巷镇营业所,沈巷镇营业所,0
340201055,3,340201,3402,芜湖市五显营业所,芜湖市五显营业所,五显营业所,0
340221,2,340221,3402,芜湖县,芜湖县,芜湖县,0
340221002,3,340221,3402,芜湖县殷港营业所,芜湖县殷港营业所,殷港营业所,0
340221003,3,340221,3402,芜湖县沚津路营业所,芜湖县沚津路营业所,沚津路营业所,0
340221004,3,340221,3402,芜湖县开发区营业所,芜湖县开发区营业所,开发区营业所,0
340221007,3,340221,3402,芜湖县三元营业所,芜湖县三元营业所,三元营业所,0
340221010,3,340221,3402,芜湖县红杨营业所,芜湖县红杨营业所,红杨营业所,0
340221012,3,340221,3402,芜湖县西河营业所,芜湖县西河营业所,西河营业所,0
340221013,3,340221,3402,芜湖县陶辛镇营业所,芜湖县陶辛镇营业所,陶辛镇营业所,0
340222,2,340222,3402,繁昌县,繁昌县,繁昌县,0
340222002,3,340222,3402,繁昌县西门桥营业所,繁昌县西门桥营业所,西门桥营业所,0
340222003,3,340222,3402,繁昌县城南营业所,繁昌县城南营业所,城南营业所,0
340222005,3,340222,3402,繁昌县荻港镇营业所,繁昌县荻港镇营业所,荻港镇营业所,0
340222007,3,340222,3402,繁昌县新港营业所,繁昌县新港营业所,新港营业所,0
340222009,3,340222,3402,繁昌县赤沙营业所,繁昌县赤沙营业所,赤沙营业所,0
340222010,3,340222,3402,繁昌县横山镇营业所,繁昌县横山镇营业所,横山镇营业所,0
340222011,3,340222,3402,繁昌县高安营业所,繁昌县高安营业所,高安营业所,0
340222012,3,340222,3402,繁昌县黄浒营业所,繁昌县黄浒营业所,黄浒营业所,0
340222016,3,340222,3402,繁昌县马坝营业所,繁昌县马坝营业所,马坝营业所,0
340222017,3,340222,3402,繁昌县平甫营业所,繁昌县平甫营业所,平甫营业所,0
340222022,3,340222,3402,繁昌县春谷营业所,繁昌县春谷营业所,春谷营业所,0
340223,2,340223,3402,南陵县,南陵县,南陵县,0
340223002,3,340223,3402,南陵县籍山路营业所,南陵县籍山路营业所,籍山路营业所,0
340223003,3,340223,3402,南陵县东门营业所,南陵县东门营业所,东门营业所,0
340223004,3,340223,3402,南陵县文庙路营业所,南陵县文庙路营业所,文庙路营业所,0
